Event	ID	Name			Wwise Object Path	Notes
	3861538420	Play_MainMusicSW			\Music\Play_MainMusicSW	

State Group	ID	Name			Wwise Object Path	Notes
	1314730481	Player_Level			\Music_States\Player_Level	
	1358435973	Combat_intensity_Lv1			\Music_States\Combat_intensity_Lv1	
	1972315911	Lv2_ending			\Music_States\Lv2_ending	
	2718506204	Combat_Lv2			\Music_States\Combat_Lv2	
	3626020801	Player_State_health			\Music_States\Player_State_health	
	4071417932	Player_state			\Music_States\Player_state	

State	ID	Name	State Group			Notes
	748895195	None	Player_Level			
	964811740	Lv1	Player_Level			
	964811743	Lv2	Player_Level			
	2607556080	Menu	Player_Level			
	748895195	None	Combat_intensity_Lv1			
	2317668770	Combat_high_Lv1	Combat_intensity_Lv1			
	174960569	Loose	Lv2_ending			
	748895195	None	Lv2_ending			
	979765101	Win	Lv2_ending			
	748895195	None	Combat_Lv2			
	1778785816	Combat_hall_lv2	Combat_Lv2			
	2625421100	Combat_Xaga_Lv2	Combat_Lv2			
	72790338	Low_health	Player_State_health			
	748895195	None	Player_State_health			
	3268324997	Normal_health	Player_State_health			
	5260279	No_combat	Player_state			
	748895195	None	Player_state			
	1960863454	Control_tower	Player_state			
	2116791127	In_combat	Player_state			
	3705378287	Elevator	Player_state			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	112064426	DG_combatH_stringsG_1	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_combatH_stringsG_1_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Player_state\Lv1_combat_intensity\Lv1_combat_high\DG_combat_high\DG_combatH_stringsG_1		2990069
	139893103	DG_transition2	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_transition2_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Transitions_LV1\DG_transition2\DG_transition2		161977
	192643928	DG_combatH_fladerG_1	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_combatH_fladerG_1_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Player_state\Lv1_combat_intensity\Lv1_combat_high\DG_combat_high\DG_combatH_fladerG_1		13647
	196207872	combat_Lv2_Battleloop	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\combat_Lv2_Battleloop_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv2_conference\Lv2_combat_xaga\combat_Lv2_Battleloop\combat_Lv2_Battleloop		2406771
	212922215	DG_nocombat_percG_2	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_nocombat_percG_2_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Control_Tower\DG_nocombat_loop\DG_nocombat_percG_2		16305
	255757780	nocombat4_audioG	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\nocombat4_audioG_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Lv1_No_Combat\DG_nocombat_loop\nocombat4_audioG		2519440
	259424817	DG_nocombat_blaesG_2	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_nocombat_blaesG_2_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Control_Tower\DG_nocombat_loop\DG_nocombat_blaesG_2		16305
	298463752	DG_trans-low-combat_3	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_trans-low-combat_3_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Transitions_LV1\DG_trans-nocombat-combat02\DG_trans-low-combat_3		507157
	333950014	control room reverb tales	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\control room reverb tales_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv2_conference\Transitions_Lv2\control room reverb tales\control room reverb tales		373418
	366846819	DG_combatH_percG_1	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_combatH_percG_1_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Player_state\Lv1_combat_intensity\Lv1_combat_high\DG_combat_high\DG_combatH_percG_1		3109922
	372372360	DG_combatH_blæsG_1	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\DG_combatH_blæsG_1_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv1_hangard\Player_state\Lv1_combat_intensity\Lv1_combat_high\DG_combat_high\DG_combatH_blæsG_1		442518
	454691659	combat_Lv2_intro_1	C:\Users\lp_ko\Documents\GitHub\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Mac\SFX\combat_Lv2_intro_1_3D796F78.wem		\Interactive Music Hierarchy\InteractiveMusic\MainMusicSW\Lv2_conference\Lv2_combat_xaga\combat_Lv2_intro_1\combat_Lv2_intro_1		1335833
