Event	ID	Name			Wwise Object Path	Notes
	86438937	Play_HitFlesh			\NPC\Damage\Play_HitFlesh	
	98439365	Play_Player_Footsteps			\Locomotion\PlayerLocomotion\Play_Player_Footsteps	
	161393517	Play_TestBeep_lp_3D			\TestEvents\Play_TestBeep_lp_3D	
	243729645	Play_Alt_Fire_Rifle			\Weapons\Rifle\Play_Alt_Fire_Rifle	
	449246991	Play_Reload_Handgun			\Weapons\Handgun\Play_Reload_Handgun	
	513454534	Play_KillConfirm			\NPC\Damage\Play_KillConfirm	
	634184142	Play_FireMain_Rifle			\Weapons\Rifle\Play_FireMain_Rifle	
	858964037	Play_TestBeep_lp			\TestEvents\Play_TestBeep_lp	
	889755407	Play_Play_Jump			\Locomotion\PlayerLocomotion\Play_Play_Jump	
	903081441	Play_AmbienceMain			\Ambience\Play_AmbienceMain	
	941492189	Play_Hitmarker_main			\Weapons\Hitmarkers\Play_Hitmarker_main	
	1174221978	Play_HitArmor			\NPC\Damage\Play_HitArmor	
	1670385919	Stop_TestBeep_lp_3D			\TestEvents\Stop_TestBeep_lp_3D	
	1681067324	Play_TestBeep_3D			\TestEvents\Play_TestBeep_3D	
	1955951874	Play_TestBeep			\TestEvents\Play_TestBeep	
	2073520173	Play_Alt_Charge_Fifle			\Weapons\Rifle\Play_Alt_Charge_Fifle	
	2435533942	Play_Reload_Rifle			\Weapons\Rifle\Play_Reload_Rifle	
	2628165376	Play_Headshot			\NPC\Damage\Play_Headshot	
	2752533807	Play_TestSound			\TestEvents\Play_TestSound	
	3106700779	Stop_TestBeep_lp			\TestEvents\Stop_TestBeep_lp	
	3158001838	Play_ChargeRdy_Rifle			\Weapons\Rifle\Play_ChargeRdy_Rifle	
	3179694963	Play_Obj_AirBox			\Ambience\Play_Obj_AirBox	
	4057284179	Play_Idle_Rifle			\Weapons\Rifle\Play_Idle_Rifle	
	4249207015	Play_Player_Land			\Locomotion\PlayerLocomotion\Play_Player_Land	

Switch Group	ID	Name			Wwise Object Path	Notes
	2051106367	PlayerSpeedSwitch			\Switches\PlayerSpeedSwitch	

Switch	ID	Name	Switch Group			Notes
	1296465089	Sprint	PlayerSpeedSwitch			
	1865857008	Transition	PlayerSpeedSwitch			
	2884887403	Sneak	PlayerSpeedSwitch			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2653406601	RTPC_PlayerSpeed			\GameParameters\RTPC_PlayerSpeed	

Effect plug-ins	ID	Name	Type				Notes
	206109583	BootRunCompressor (Custom)	Wwise Compressor			
	323939449	New_Parametric_EQ (Custom)	Wwise Parametric EQ			
	556812336	BootRunCompressor (Custom)	Wwise Compressor			
	652845231	BootRunCompressor (Custom)	Wwise Compressor			
	863753366	BootRunCompressor (Custom)	Wwise Compressor			
	891593514	New_Parametric_EQ (Custom)	Wwise Parametric EQ			
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	63893666	Tone Generator	Wwise Tone Generator		\Actor-Mixer Hierarchy\TestFiles\TestSound\Tone Generator	
	69832810	Tone Generator	Wwise Tone Generator		\Actor-Mixer Hierarchy\TestFiles\Sfx_fs_TestSound\Tone Generator	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	33074131	Boots_StartStop_01	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Boots_StartStop_01_818F3B66.wem		\Actor-Mixer Hierarchy\Sound FX\Sounds\PlayerSounds\Player_Locomotion\PlayerFootsteps\Player_fs_Boots\Transition\Boots_StartStop_01		67408
	50251163	Boots_Run_Toe_03	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Run\Boots_Run_Toe_03_25B50D5A.wem		\Actor-Mixer Hierarchy\Sound FX\Sounds\PlayerSounds\Player_Locomotion\PlayerFootsteps\Player_fs_Boots\Sprint\Toe\Boots_Run_Toe_03		61128
	61446819	Boots_Run_Toe_06	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Run\Boots_Run_Toe_06_30DCEA9F.wem		\Actor-Mixer Hierarchy\Sound FX\Sounds\PlayerSounds\Player_Locomotion\PlayerFootsteps\Player_fs_Boots\Sprint\Toe\Boots_Run_Toe_06		77164
	108052905	Boots_Run_Heel_05	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Run\Boots_Run_Heel_05_8B559579.wem		\Actor-Mixer Hierarchy\Sound FX\Sounds\PlayerSounds\Player_Locomotion\PlayerFootsteps\Player_fs_Boots\Sprint\Heel\Boots_Run_Heel_05		15644
	133120763	Ambience, Scifi, Space Atmosphere, Dark, Creepy, Resonant SND50528 1	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Ambience, Scifi, Space Atmosphere, Dark, Creepy, Resonant SND50528 1_FBC78EF0.wem		\Actor-Mixer Hierarchy\Sound FX\Ambience\Ambience, Scifi, Space Atmosphere, Dark, Creepy, Resonant SND50528 1		8483004
	157072511	Boots_Walk_Toe_04	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Walk\Boots_Walk_Toe_04_818F3B66.wem		\Actor-Mixer Hierarchy\Sound FX\Sounds\PlayerSounds\Player_Locomotion\PlayerFootsteps\Player_fs_Boots\Walk\Toe\Boots_Walk_Toe_04		75220
	199293111	Boots_Walk_Heel_02	C:\game of life\GraduationGameTeam1\WwiseProject_GraduationGame\.cache\Windows\SFX\Walk\Boots_Walk_Heel_02_818F3B66.wem		\Actor-Mixer Hierarchy\Sound FX\Sounds\PlayerSounds\Player_Locomotion\PlayerFootsteps\Player_fs_Boots\Walk\Heel\Boots_Walk_Heel_02		16140
